cricket	O
-	O
leicestershire	S-ORG
take	O
over	O
at	O
top	O
after	O
innings	O
victory	O
.	O

london	O
1996-08-30	O

west	O
indian	O
all-rounder	O
phil	O
simmons	O
took	O
four	O
for	O
38	O
on	O
friday	O
as	O
leicestershire	S-ORG
beat	O
somerset	S-ORG
by	O
an	O
innings	O
and	O
39	O
runs	O
in	O
two	O
days	O
to	O
take	O
over	O
at	O
the	O
head	O
of	O
the	O
county	O
championship	O
.	O

their	O
stay	O
on	O
top	O
,	O
though	O
,	O
may	O
be	O
short-lived	O
as	O
title	O
rivals	O
essex	S-ORG
,	O
derbyshire	S-ORG
and	O
surrey	S-ORG
all	O
closed	O
in	O
on	O
victory	O
while	O
kent	S-ORG
made	O
up	O
for	O
lost	O
time	O
in	O
their	O
rain-affected	O
match	O
against	O
nottinghamshire	S-ORG
.	O

after	O
bowling	O
somerset	S-ORG
out	O
for	O
83	O
on	O
the	O
opening	O
morning	O
at	O
grace	O
road	O
,	O
leicestershire	S-ORG
extended	O
their	O
first	O
innings	O
by	O
94	O
runs	O
before	O
being	O
bowled	O
out	O
for	O
296	O
with	O
england	O
discard	O
andy	O
caddick	O
taking	O
three	O
for	O
83	O
.	O

trailing	O
by	O
213	O
,	O
somerset	S-ORG
got	O
a	O
solid	O
start	O
to	O
their	O
second	O
innings	O
before	O
simmons	O
stepped	O
in	O
to	O
bundle	O
them	O
out	O
for	O
174	O
.	O

essex	S-ORG
,	O
however	O
,	O
look	O
certain	O
to	O
regain	O
their	O
top	O
spot	O
after	O
nasser	O
hussain	O
and	O
peter	O
such	O
gave	O
them	O
a	O
firm	O
grip	O
on	O
their	O
match	O
against	O
yorkshire	S-ORG
at	O
headingley	O
.	O

hussain	O
,	O
considered	O
surplus	O
to	O
england	O
's	O
one-day	O
requirements	O
,	O
struck	O
158	O
,	O
his	O
first	O
championship	O
century	O
of	O
the	O
season	O
,	O
as	O
essex	S-ORG
reached	O
372	O
and	O
took	O
a	O
first	O
innings	O
lead	O
of	O
82	O
.	O

by	O
the	O
close	O
yorkshire	S-ORG
had	O
turned	O
that	O
into	O
a	O
37-run	O
advantage	O
but	O
off-spinner	O
such	O
had	O
scuttled	O
their	O
hopes	O
,	O
taking	O
four	O
for	O
24	O
in	O
48	O
balls	O
and	O
leaving	O
them	O
hanging	O
on	O
119	O
for	O
five	O
and	O
praying	O
for	O
rain	O
.	O

at	O
the	O
oval	O
,	O
surrey	S-ORG
captain	O
chris	O
lewis	O
,	O
another	O
man	O
dumped	O
by	O
england	O
,	O
continued	O
to	O
silence	O
his	O
critics	O
as	O
he	O
followed	O
his	O
four	O
for	O
45	O
on	O
thursday	O
with	O
80	O
not	O
out	O
on	O
friday	O
in	O
the	O
match	O
against	O
warwickshire	S-ORG
.	O

he	O
was	O
well	O
backed	O
by	O
england	O
hopeful	O
mark	O
butcher	O
who	O
made	O
70	O
as	O
surrey	S-ORG
closed	O
on	O
429	O
for	O
seven	O
,	O
a	O
lead	O
of	O
234	O
.	O

derbyshire	S-ORG
kept	O
up	O
the	O
hunt	O
for	O
their	O
first	O
championship	O
title	O
since	O
1936	O
by	O
reducing	O
worcestershire	S-ORG
to	O
133	O
for	O
five	O
in	O
their	O
second	O
innings	O
,	O
still	O
100	O
runs	O
away	O
from	O
avoiding	O
an	O
innings	O
defeat	O
.	O

australian	O
tom	O
moody	O
took	O
six	O
for	O
82	O
but	O
chris	O
adams	O
,	O
123	O
,	O
and	O
tim	O
o'gorman	O
,	O
109	O
,	O
took	O
derbyshire	S-ORG
to	O
471	O
and	O
a	O
first	O
innings	O
lead	O
of	O
233	O
.	O

after	O
the	O
frustration	O
of	O
seeing	O
the	O
opening	O
day	O
of	O
their	O
match	O
badly	O
affected	O
by	O
the	O
weather	O
,	O
kent	S-ORG
stepped	O
up	O
a	O
gear	O
to	O
dismiss	O
nottinghamshire	S-ORG
for	O
214	O
.	O

they	O
were	O
held	O
up	O
by	O
a	O
gritty	O
84	O
from	O
paul	O
johnson	O
but	O
ex-england	O
fast	O
bowler	O
martin	O
mccague	O
took	O
four	O
for	O
55	O
.	O

by	O
stumps	O
kent	S-ORG
had	O
reached	O
108	O
for	O
three	O
.	O

-docstart-	O

cricket	O
-	O
english	O
county	O
championship	O
scores	O
.	O

london	O
1996-08-30	O

result	O
and	O
close	O
of	O
play	O
scores	O
in	O
english	O
county	O
championship	O
matches	O
on	O
friday	O
:	O

leicester	O
:	O
leicestershire	S-ORG
beat	O
somerset	S-ORG
by	O
an	O
innings	O
and	O
39	O
runs	O
.	O

somerset	S-ORG
83	O
and	O
174	O
(	O
p.	O
simmons	O
4-38	O
)	O
,	O
leicestershire	S-ORG
296	O
.	O

leicestershire	S-ORG
22	O
points	O
,	O
somerset	S-ORG
4	O
.	O

chester-le-street	O
:	O
glamorgan	S-ORG
259	O
and	O
207	O
(	O
a.	O
dale	O
69	O
,	O
h.	O
morris	O
69	O
;	O
d.	O
blenkiron	O
4-43	O
)	O
,	O
durham	S-ORG
114	O
(	O
s.	O
watkin	O
4-28	O
)	O
and	O
81-3	O
.	O

tunbridge	O
wells	O
:	O
nottinghamshire	S-ORG
214	O
(	O
p.	O
johnson	O
84	O
;	O
m.	O
mccague	O
4-55	O
)	O
,	O
