the	O
project	O
will	O
be	O
managed	O
by	O
keane	O
's	O
atlanta	O
office	O
.	O

georgia	O
rep	O
.	O

sairyu	O
maru	O
no	O
:	O
2	O
-	O
(	O
built	O
1982	O
)	O
60,960	O
dwt	O
sold	O
to	O
greek	O
buyers	O
for	O
$	O
15.5	O
million	O
.	O

*	O
sierra	O
semiconductor	O
corp	O
puts	O
modem	O
chipset	O
line	O
up	O
for	O
sale	O
and	O
sets	O
layoffs	O
.	O

rome	O
1996-08-28	O

0	O
(	O
2-0	O
)	O

willem	O
ii	O
tilburg	O
0	O
fortuna	O
sittard	O
1	O

malcolm	B-PER
marshall	E-PER
(	O
west	O
indies	O
)	O
376	O
,	O
81	O

in	O
larnaca	O
:	O
aek	O
larnaca	O
(	O
cyprus	O
)	O
5	O
kotaik	O
abovyan	O
(	O
armenia	O
)	O

in	O
paris	O
,	O
the	O
cac-40	O
share	O
index	O
finished	O
down	O
2.43	O
at	O
2,017.99	O
.	O

nuremberg	O
25,929	O
up	O
17.8	O

"	O
there	O
has	O
been	O
a	O
call	O
for	O
a	O
general	O
strike	O
between	O
one	O
(	O
1000	O
gmt	O
)	O
and	O
three	O
o'clock	O
,	O
"	O
palestinian	O
lawmaker	O
ahmed	B-PER
hashem	I-PER
zighayer	E-PER
told	O
reuters	O
.	O

borussia	O
moenchengladbach	O
4	O
0	O
2	O
2	O
1	O
4	O
2	O

"	O
although	O
,	O
if	O
we	O
did	O
get	O
someone	O
that	O
was	O
seen	O
as	O
looking	O
for	O
a	O
dollar	O
depreciation	O
,	O
it	O
would	O
probably	O
hurt	O
capital	O
flows	O
to	O
the	O
united	O
states	O
,	O
"	O
said	O
widness	S-PER
,	O
adding	O
that	O
could	O
hurt	O
u.s.	O
stocks	O
and	O
,	O
to	O
a	O
lesser	O
degree	O
,	O
bonds	O
.	O

gloria	O
bistrita	O
(	O
romania	O
)	O
beat	O
2-1	O
(	O
halftime	O
1-1	O
)	O
f.c.	O
valletta	O
(	O
malta	O
)	O
in	O
their	O
cup	O
winners	O
cup	O
match	O
,	O
second	O
leg	O
of	O
the	O
preliminary	O
round	O
,	O
on	O
thursday	O
.	O

8	O
-	O
jim	B-PER
courier	E-PER
(	O
u.s.	O
)	O
vs.	O
javier	B-PER
sanchez	E-PER
(	O
spain	O
)	O

-docstart-	O

fc	O
karvina	O
3	O
1	O
1	O
1	O
3	O
5	O
4	O

championship	O
at	O
collingtree	O
park	O
on	O
wednesday	O
(	O
britain	O
unless	O

but	O
new	O
springbok	O
skipper	O
gary	B-PER
teichmann	E-PER
has	O
recovered	O
from	O
a	O
bruised	O
thigh	O
and	O
is	O
ready	O
to	O
play	O
,	O
coach	O
andre	B-PER
markgraaff	E-PER
said	O
.	O

dakar	O
1996-08-29	O

it	O
brought	O
in	O
4,275	O
tonnes	O
of	O
british	O
mutton	O
,	O
some	O
10	O
percent	O
of	O
overall	O
imports	O
.	O

it	O
has	O
sales	O
in	O
38	O
foreign	O
countries	O
.	O

lanusse	S-PER
was	O
a	O
candidate	O
in	O
the	O
election	O
but	O
failed	O
to	O
defeat	O
his	O
old	O
adversories	O
and	O
never	O
returned	O
to	O
public	O
office	O
.	O

radio	O
stations	O
said	O
around	O
15,000	O
farmers	O
,	O
angered	O
by	O
a	O
fall	O
in	O
beef	O
prices	O
following	O
the	O
mad	O
cow	O
disease	O
crisis	O
,	O
staged	O
protests	O
in	O
many	O
areas	O
and	O
blockaded	O
several	O
main	O
roads	O
and	O
motorways	O
.	O

scottish	O
division	O
two	O
-	O
ayr	O
v	O
berwick	O
,	O
clyde	O
v	O
queen	O
of	O
the	O

scoreboard	O
of	O
the	O
second	O
singer	O

cricket	O
-	O
english	O
county	O
