eu	S-ORG
rejects	O
german	S-MISC
call	O
to	O
boycott	O
british	S-MISC
lamb	O
.	O

peter	B-PER
blackburn	E-PER

brussels	S-LOC
1996-08-22	O

the	O
european	B-ORG
commission	E-ORG
said	O
on	O
thursday	O
it	O
disagreed	O
with	O
german	S-MISC
advice	O
to	O
consumers	O
to	O
shun	O
british	S-MISC
lamb	O
until	O
scientists	O
determine	O
whether	O
mad	O
cow	O
disease	O
can	O
be	O
transmitted	O
to	O
sheep	O
.	O

germany	S-LOC
's	O
representative	O
to	O
the	O
european	B-ORG
union	E-ORG
's	O
veterinary	O
committee	O
werner	B-PER
zwingmann	E-PER
said	O
on	O
wednesday	O
consumers	O
should	O
buy	O
sheepmeat	O
from	O
countries	O
other	O
than	O
britain	S-LOC
until	O
the	O
scientific	O
advice	O
was	O
clearer	O
.	O

"	O
we	O
do	O
n't	O
support	O
any	O
such	O
recommendation	O
because	O
we	O
do	O
n't	O
see	O
any	O
grounds	O
for	O
it	O
,	O
"	O
the	O
commission	S-ORG
's	O
chief	O
spokesman	O
nikolaus	B-PER
van	I-PER
der	I-PER
pas	E-PER
told	O
a	O
news	O
briefing	O
.	O

he	O
said	O
further	O
scientific	O
study	O
was	O
required	O
and	O
if	O
it	O
was	O
found	O
that	O
action	O
was	O
needed	O
it	O
should	O
be	O
taken	O
by	O
the	O
european	B-ORG
union	E-ORG
.	O

he	O
said	O
a	O
proposal	O
last	O
month	O
by	O
eu	S-ORG
farm	O
commissioner	O
franz	B-PER
fischler	E-PER
to	O
ban	O
sheep	O
brains	O
,	O
spleens	O
and	O
spinal	O
cords	O
from	O
the	O
human	O
and	O
animal	O
food	O
chains	O
was	O
a	O
highly	O
specific	O
and	O
precautionary	O
move	O
to	O
protect	O
human	O
health	O
.	O

fischler	S-PER
proposed	O
eu-wide	S-MISC
measures	O
after	O
reports	O
from	O
britain	S-LOC
and	O
france	S-LOC
that	O
under	O
laboratory	O
conditions	O
sheep	O
could	O
contract	O
bovine	B-MISC
spongiform	I-MISC
encephalopathy	E-MISC
(	O
bse	S-MISC
)	O
--	O
mad	O
cow	O
disease	O
.	O

but	O
fischler	S-PER
agreed	O
to	O
review	O
his	O
proposal	O
after	O
the	O
eu	S-ORG
's	O
standing	O
veterinary	O
committee	O
,	O
mational	O
animal	O
health	O
officials	O
,	O
questioned	O
if	O
such	O
action	O
was	O
justified	O
as	O
there	O
was	O
only	O
a	O
slight	O
risk	O
to	O
human	O
health	O
.	O

spanish	S-MISC
farm	O
minister	O
loyola	B-PER
de	I-PER
palacio	E-PER
had	O
earlier	O
accused	O
fischler	S-PER
at	O
an	O
eu	S-ORG
farm	O
ministers	O
'	O
meeting	O
of	O
causing	O
unjustified	O
alarm	O
through	O
"	O
dangerous	O
generalisation	O
.	O
"	O

.	O

only	O
france	S-LOC
and	O
britain	S-LOC
backed	O
fischler	S-PER
's	O
proposal	O
.	O

the	O
eu	S-ORG
's	O
scientific	O
veterinary	O
and	O
multidisciplinary	O
committees	O
are	O
due	O
to	O
re-examine	O
the	O
issue	O
early	O
next	O
month	O
and	O
make	O
recommendations	O
to	O
the	O
senior	O
veterinary	O
officials	O
.	O

sheep	O
have	O
long	O
been	O
known	O
to	O
contract	O
scrapie	O
,	O
a	O
brain-wasting	O
disease	O
similar	O
to	O
bse	S-MISC
which	O
is	O
believed	O
to	O
have	O
been	O
transferred	O
to	O
cattle	O
through	O
feed	O
containing	O
animal	O
waste	O
.	O

british	S-MISC
farmers	O
denied	O
on	O
thursday	O
there	O
was	O
any	O
danger	O
to	O
human	O
health	O
from	O
their	O
sheep	O
,	O
but	O
expressed	O
concern	O
that	O
german	S-MISC
government	O
advice	O
to	O
consumers	O
to	O
avoid	O
british	S-MISC
lamb	O
might	O
influence	O
consumers	O
across	O
europe	S-LOC
.	O

"	O
what	O
we	O
have	O
to	O
be	O
extremely	O
careful	O
of	O
is	O
how	O
other	O
countries	O
are	O
going	O
to	O
take	O
germany	S-LOC
's	O
lead	O
,	O
"	O
welsh	B-ORG
national	I-ORG
farmers	I-ORG
'	I-ORG
union	E-ORG
(	O
nfu	S-ORG
)	O
chairman	O
john	B-PER
lloyd	I-PER
jones	E-PER
said	O
on	O
bbc	B-ORG
radio	E-ORG
.	O

bonn	S-LOC
has	O
led	O
efforts	O
to	O
protect	O
public	O
health	O
after	O
consumer	O
confidence	O
collapsed	O
in	O
march	O
after	O
a	O
british	S-MISC
report	O
suggested	O
humans	O
could	O
contract	O
an	O
illness	O
similar	O
to	O
mad	O
cow	O
disease	O
by	O
eating	O
contaminated	O
beef	O
.	O

germany	S-LOC
imported	O
47,600	O
sheep	O
from	O
britain	S-LOC
last	O
year	O
,	O
nearly	O
half	O
of	O
total	O
imports	O
.	O

it	O
brought	O
in	O
4,275	O
tonnes	O
of	O
british	S-MISC
mutton	O
,	O
some	O
10	O
percent	O
of	O
overall	O
imports	O
.	O

-docstart-	O

rare	O
hendrix	S-PER
song	O
draft	O
sells	O
for	O
almost	O
$	O
17,000	O
.	O

london	S-LOC
1996-08-22	O

a	O
rare	O
early	O
handwritten	O
draft	O
of	O
a	O
song	O
by	O
u.s.	S-LOC
guitar	O
legend	O
jimi	B-PER
hendrix	E-PER
was	O
sold	O
for	O
almost	O
$	O
17,000	O
on	O
thursday	O
at	O
an	O
auction	O
of	O
some	O
of	O
the	O
late	O
musician	O
's	O
favourite	O
possessions	O
.	O

a	O
florida	S-LOC
restaurant	O
paid	O
10,925	O
pounds	O
(	O
$	O
16,935	O
)	O
for	O
the	O
draft	O
of	O
"	O
ai	B-MISC
n't	I-MISC
no	I-MISC
telling	E-MISC
"	O
,	O
which	O
hendrix	S-PER
penned	O
on	O
a	O
piece	O
of	O
london	S-LOC
hotel	O
stationery	O
in	O
late	O
1966	O
.	O

at	O
the	O
end	O
of	O
a	O
january	O
1967	O
concert	O
in	O
the	O
english	S-MISC
city	O
of	O
nottingham	S-LOC
he	O
threw	O
the	O
sheet	O
of	O
paper	O
into	O
the	O
audience	O
,	O
where	O
it	O
