EU	O
rejects	O
German	O
call	O
to	O
boycott	O
British	O
lamb	O
.	O

Peter	O
Blackburn	O

BRUSSELS	S-LOC
1996-08-22	O

The	O
European	O
Commission	O
said	O
on	O
Thursday	O
it	O
disagreed	O
with	O
German	O
advice	O
to	O
consumers	O
to	O
shun	O
British	O
lamb	O
until	O
scientists	O
determine	O
whether	O
mad	O
cow	O
disease	O
can	O
be	O
transmitted	O
to	O
sheep	O
.	O

Germany	S-LOC
's	O
representative	O
to	O
the	O
European	O
Union	O
's	O
veterinary	O
committee	O
Werner	O
Zwingmann	O
said	O
on	O
Wednesday	O
consumers	O
should	O
buy	O
sheepmeat	O
from	O
countries	O
other	O
than	O
Britain	S-LOC
until	O
the	O
scientific	O
advice	O
was	O
clearer	O
.	O

"	O
We	O
do	O
n't	O
support	O
any	O
such	O
recommendation	O
because	O
we	O
do	O
n't	O
see	O
any	O
grounds	O
for	O
it	O
,	O
"	O
the	O
Commission	O
's	O
chief	O
spokesman	O
Nikolaus	O
van	O
der	O
Pas	O
told	O
a	O
news	O
briefing	O
.	O

He	O
said	O
further	O
scientific	O
study	O
was	O
required	O
and	O
if	O
it	O
was	O
found	O
that	O
action	O
was	O
needed	O
it	O
should	O
be	O
taken	O
by	O
the	O
European	O
Union	O
.	O

He	O
said	O
a	O
proposal	O
last	O
month	O
by	O
EU	O
Farm	O
Commissioner	O
Franz	O
Fischler	O
to	O
ban	O
sheep	O
brains	O
,	O
spleens	O
and	O
spinal	O
cords	O
from	O
the	O
human	O
and	O
animal	O
food	O
chains	O
was	O
a	O
highly	O
specific	O
and	O
precautionary	O
move	O
to	O
protect	O
human	O
health	O
.	O

Fischler	O
proposed	O
EU-wide	O
measures	O
after	O
reports	O
from	O
Britain	S-LOC
and	O
France	S-LOC
that	O
under	O
laboratory	O
conditions	O
sheep	O
could	O
contract	O
Bovine	O
Spongiform	O
Encephalopathy	O
(	O
BSE	O
)	O
--	O
mad	O
cow	O
disease	O
.	O

But	O
Fischler	O
agreed	O
to	O
review	O
his	O
proposal	O
after	O
the	O
EU	O
's	O
standing	O
veterinary	O
committee	O
,	O
mational	O
animal	O
health	O
officials	O
,	O
questioned	O
if	O
such	O
action	O
was	O
justified	O
as	O
there	O
was	O
only	O
a	O
slight	O
risk	O
to	O
human	O
health	O
.	O

Spanish	O
Farm	O
Minister	O
Loyola	O
de	O
Palacio	O
had	O
earlier	O
accused	O
Fischler	O
at	O
an	O
EU	O
farm	O
ministers	O
'	O
meeting	O
of	O
causing	O
unjustified	O
alarm	O
through	O
"	O
dangerous	O
generalisation	O
.	O
"	O

.	O

Only	O
France	S-LOC
and	O
Britain	S-LOC
backed	O
Fischler	O
's	O
proposal	O
.	O

The	O
EU	O
's	O
scientific	O
veterinary	O
and	O
multidisciplinary	O
committees	O
are	O
due	O
to	O
re-examine	O
the	O
issue	O
early	O
next	O
month	O
and	O
make	O
recommendations	O
to	O
the	O
senior	O
veterinary	O
officials	O
.	O

Sheep	O
have	O
long	O
been	O
known	O
to	O
contract	O
scrapie	O
,	O
a	O
brain-wasting	O
disease	O
similar	O
to	O
BSE	O
which	O
is	O
believed	O
to	O
have	O
been	O
transferred	O
to	O
cattle	O
through	O
feed	O
containing	O
animal	O
waste	O
.	O

British	O
farmers	O
denied	O
on	O
Thursday	O
there	O
was	O
any	O
danger	O
to	O
human	O
health	O
from	O
their	O
sheep	O
,	O
but	O
expressed	O
concern	O
that	O
German	O
government	O
advice	O
to	O
consumers	O
to	O
avoid	O
British	O
lamb	O
might	O
influence	O
consumers	O
across	O
Europe	S-LOC
.	O

"	O
What	O
we	O
have	O
to	O
be	O
extremely	O
careful	O
of	O
is	O
how	O
other	O
countries	O
are	O
going	O
to	O
take	O
Germany	S-LOC
's	O
lead	O
,	O
"	O
Welsh	O
National	O
Farmers	O
'	O
Union	O
(	O
NFU	O
)	O
chairman	O
John	O
Lloyd	O
Jones	O
said	O
on	O
BBC	O
radio	O
.	O

Bonn	S-LOC
has	O
led	O
efforts	O
to	O
protect	O
public	O
health	O
after	O
consumer	O
confidence	O
collapsed	O
in	O
March	O
after	O
a	O
British	O
report	O
suggested	O
humans	O
could	O
contract	O
an	O
illness	O
similar	O
to	O
mad	O
cow	O
disease	O
by	O
eating	O
contaminated	O
beef	O
.	O

Germany	S-LOC
imported	O
47,600	O
sheep	O
from	O
Britain	S-LOC
last	O
year	O
,	O
nearly	O
half	O
of	O
total	O
imports	O
.	O

It	O
brought	O
in	O
4,275	O
tonnes	O
of	O
British	O
mutton	O
,	O
some	O
10	O
percent	O
of	O
overall	O
imports	O
.	O

-DOCSTART-	O

Rare	O
Hendrix	O
song	O
draft	O
sells	O
for	O
almost	O
$	O
17,000	O
.	O

LONDON	S-LOC
1996-08-22	O

A	O
rare	O
early	O
handwritten	O
draft	O
of	O
a	O
song	O
by	O
U.S.	S-LOC
guitar	O
legend	O
Jimi	O
Hendrix	O
was	O
sold	O
for	O
almost	O
$	O
17,000	O
on	O
Thursday	O
at	O
an	O
auction	O
of	O
some	O
of	O
the	O
late	O
musician	O
's	O
favourite	O
possessions	O
.	O

A	O
Florida	S-LOC
restaurant	O
paid	O
10,925	O
pounds	O
(	O
$	O
16,935	O
)	O
for	O
the	O
draft	O
of	O
"	O
Ai	O
n't	O
no	O
telling	O
"	O
,	O
which	O
Hendrix	O
penned	O
on	O
a	O
piece	O
of	O
London	S-LOC
hotel	O
stationery	O
in	O
late	O
1966	O
.	O

At	O
the	O
end	O
of	O
a	O
January	O
1967	O
concert	O
in	O
the	O
English	O
city	O
of	O
Nottingham	S-LOC
he	O
threw	O
the	O
sheet	O
of	O
paper	O
into	O
the	O
audience	O
,	O
where	O
it	O
was	O
retrieved	O
by	O
a	O
fan	O
.	O

Buyers	O
also	O
snapped	O
up	O
16	O
other	O
items	O
that	O
were	O
put	O
up	O
for	O
auction	O
by	O
Hendrix	O
's	O
former	O
girlfriend	O
Kathy	O
Etchingham	O
,	O
who	O
lived	O
with	O
him	O
from	O
1966	O
to	O
1969	O
.	O

They	O
included	O
a	O
black	O
lacquer	O
and	O
mother	O
of	O
pearl	O
inlaid	O
box	O
used	O
by	O
Hendrix	O
to	O
store	O
his	O
drugs	O
,	O
which	O
an	O
anonymous	O
Australian	O
purchaser	O
bought	O
for	O
5,060	O
pounds	O
(	O
$	O
7,845	O
)	O
.	O

The	O
guitarist	O
died	O
of	O
a	O
drugs	O
overdose	O
in	O
1970	O
aged	O
27	O
.	O

-DOCSTART-	O

China	S-LOC
says	O
Taiwan	S-LOC
spoils	O
atmosphere	O
for	O
talks	O
.	O

BEIJING	S-LOC
1996-08-22	O

China	S-LOC
on	O
Thursday	O
accused	O
Taipei	S-LOC
of	O
spoiling	O
the	O
atmosphere	O
for	O
a	O
resumption	O
of	O
talks	O
across	O
the	O
Taiwan	B-LOC
Strait	E-LOC
with	O
a	O
visit	O
to	O
Ukraine	S-LOC
by	O
Taiwanese	O
Vice	O
President	O
Lien	O
Chan	O
this	O
week	O
that	O
infuriated	O
Beijing	S-LOC
.	O

Speaking	O
only	O
hours	O
after	O
Chinese	O
state	O
media	O
said	O
the	O
time	O
was	O
right	O
to	O
engage	O
in	O
political	O
talks	O
with	O
Taiwan	S-LOC
,	O
Foreign	O
Ministry	O
spokesman	O
Shen	O
Guofang	O
told	O
Reuters	O
:	O
"	O
The	O
necessary	O
atmosphere	O
for	O
the	O
opening	O
of	O
the	O
talks	O
has	O
been	O
disrupted	O
by	O
the	O
Taiwan	S-LOC
authorities	O
.	O
"	O

State	O
media	O
quoted	O
China	S-LOC
's	O
top	O
negotiator	O
with	O
Taipei	S-LOC
,	O
Tang	O
Shubei	O
,	O
as	O
telling	O
a	O
visiting	O
group	O
from	O
Taiwan	S-LOC
on	O
Wednesday	O
that	O
it	O
was	O
time	O
for	O
the	O
rivals	O
to	O
hold	O
political	O
talks	O
.	O

"	O
Now	O
is	O
the	O
time	O
for	O
the	O
two	O
sides	O
to	O
engage	O
in	O
political	O
talks	O
...	O

that	O
is	O
to	O
end	O
the	O
state	O
of	O
hostility	O
,	O
"	O
Thursday	O
's	O
overseas	O
edition	O
of	O
the	O
People	O
's	O
Daily	O
quoted	O
Tang	O
as	O
saying	O
.	O

The	O
foreign	O
ministry	O
's	O
Shen	O
told	O
Reuters	O
Television	O
in	O
an	O
interview	O
he	O
had	O
read	O
reports	O
of	O
Tang	O
's	O
comments	O
but	O
gave	O
no	O
details	O
of	O
why	O
the	O
negotiator	O
had	O
considered	O
the	O
time	O
right	O
for	O
talks	O
with	O
Taiwan	S-LOC
,	O
which	O
Beijing	S-LOC
considers	O
a	O
renegade	O
province	O
.	O

China	S-LOC
,	O
which	O
has	O
long	O
opposed	O
all	O
Taipei	S-LOC
efforts	O
to	O
gain	O
greater	O
international	O
recognition	O
,	O
was	O
infuriated	O
by	O
a	O
visit	O
to	O
Ukraine	S-LOC
this	O
week	O
by	O
Taiwanese	O
Vice	O
President	O
Lien	O
.	O

-DOCSTART-	O

China	S-LOC
says	O
time	O
right	O
for	O
Taiwan	S-LOC
talks	O
.	O

BEIJING	S-LOC
1996-08-22	O

China	S-LOC
has	O
said	O
it	O
was	O
time	O
for	O
political	O
talks	O
with	O
Taiwan	S-LOC
and	O
that	O
the	O
rival	O
island	O
should	O
take	O
practical	O
steps	O
towards	O
that	O
goal	O
.	O

Consultations	O
should	O
be	O
held	O
to	O
set	O
the	O
time	O
and	O
format	O
of	O
the	O
talks	O
,	O
the	O
official	O
Xinhua	O
news	O
agency	O
quoted	O
Tang	O
Shubei	O
,	O
executive	O
vice	O
chairman	O
of	O
the	O
Association	O
for	O
Relations	O
Across	O
the	O
Taiwan	O
Straits	O
,	O
as	O
saying	O
late	O
on	O
Wednesday	O
.	O

-DOCSTART-	O

German	O
July	O
car	O
registrations	O
up	O
14.2	O
pct	O
yr	O
/	O
yr	O
.	O

FRANKFURT	S-LOC
1996-08-22	O

German	O
first-time	O
registrations	O
of	O
motor	O
vehicles	O
jumped	O
14.2	O
percent	O
in	O
July	O
this	O
year	O
from	O
the	O
year-earlier	O
period	O
,	O
the	O
Federal	O
office	O
for	O
motor	O
vehicles	O
said	O
on	O
