Effects	O
of	O
triflusal	S-CHEMICAL
and	O
aspirin	S-CHEMICAL
in	O
a	O
rat	O
model	O
of	O
cerebral	O
ischemia	O
.	O
BACKGROUND	O
AND	O
PURPOSE	O
:	O
Neuroinflammation	O
plays	O
a	O
critical	O
role	O
in	O
the	O
pathogenesis	O
of	O
cerebral	O
ischemia	O
.	O
Triflusal	S-CHEMICAL
,	O
a	O
selective	O
cyclooxygenase-2	S-GP
,	O
and	O
its	O
active	O
metabolite	O
3-hydroxy-4-trifluoromethylbenzoic	B-CHEMICAL
acid	E-CHEMICAL
may	O
inhibit	O
apoptosis	O
and	O
inflammation	O
after	O
cerebral	O
ischemia	O
.	O
An	O
in	O
vivo	O
model	O
of	O
cerebral	O
ischemia	O
was	O
used	O
to	O
investigate	O
the	O
effects	O
of	O
triflusal	S-CHEMICAL
and	O
aspirin	S-CHEMICAL
treatment	O
on	O
infarct	O
volume	O
,	O
and	O
inflammation	O
after	O
cerebral	O
ischemia	O
in	O
the	O
rat	O
.	O
METHODS	O
:	O
Male	O
Wistar	O
rats	O
were	O
subjected	O
to	O
a	O
permanent	O
right-sided	O
middle	O
cerebral	O
artery	O
occlusion	O
.	O
Rats	O
received	O
oral	O
administration	O
of	O
either	O
triflusal	S-CHEMICAL
or	O
aspirin	S-CHEMICAL
.	O
After	O
3	O
days	O
after	O
surgery	O
,	O
immunostaining	O
was	O
used	O
to	O
detect	O
neuroinflammatory	O
cells	O
and	O
molecules	O
,	O
and	O
infarct	O
volumes	O
were	O
measured	O
.	O
RESULTS	O
:	O
Both	O
triflusal	S-CHEMICAL
and	O
aspirin	S-CHEMICAL
at	O
a	O
dose	O
of	O
30	O
mg/kg	O
but	O
not	O
10	O
mg/kg	O
significantly	O
reduced	O
infarct	O
volume	O
compared	O
with	O
vehicle	O
treatment	O
.	O
Middle	O
cerebral	O
artery	O
occlusion	O
resulted	O
in	O
increased	O
astrocyte	O
and	O
heat	O
shock	O
protein-27	O
(	O
Hsp27	S-GP
)	O
immunostaining	O
in	O
the	O
ipsilateral	O
cortex	O
.	O
Triflusal	S-CHEMICAL
(	O
30	O
mg/kg	O
)	O
or	O
aspirin	S-CHEMICAL
treatment	O
(	O
30	O
mg/kg	O
)	O
did	O
not	O
reduce	O
the	O
levels	O
of	O
GFAP	S-GP
or	O
Hsp27	S-GP
immunostaining	O
.	O
Triflusal	S-CHEMICAL
(	O
30	O
mg/kg	O
)	O
also	O
significantly	O
decreased	O
the	O
protein	O
levels	O
of	O
IL-Ibeta	S-GP
but	O
not	O
nuclear	B-GP
factor	I-GP
kappa	I-GP
B	E-GP
or	O
tumor	B-GP
necrosis	I-GP
factor-alpha	E-GP
in	O
the	O
cortex	O
ipsilateral	O
to	O
the	O
middle	O
cerebral	O
artery	O
occlusion	O
.	O
CONCLUSIONS	O
:	O
The	O
results	O
suggest	O
that	O
triflusal	S-CHEMICAL
and	O
aspirin	S-CHEMICAL
appear	O
to	O
be	O
equally	O
neuroprotective	O
against	O
middle	O
cerebral	O
artery	O
occlusion-induced	O
cerebral	O
ischemia	O
.	O
Therefore	O
,	O
strong	O
rationale	O
exists	O
to	O
continue	O
the	O
neuroprotective	O
examination	O
of	O
triflusal	S-CHEMICAL
in	O
brain	O
injury	O
.	O

Troglitazone	S-CHEMICAL
reduces	O
plasminogen	B-GP
activator	I-GP
inhibitor-1	E-GP
expression	O
and	O
secretion	O
in	O
cultured	O
human	O
adipocytes	O
.	O
AIMS/HYPOTHESIS	S-GP
:	O
Increased	O
plasma	B-GP
plasminogen	I-GP
activator	I-GP
inhibitor-1	E-GP
(	O
PAI-1	S-GP
)	O
concentrations	O
are	O
characteristic	O
for	O
subjects	O
with	O
insulin	S-GP
resistance	O
and	O
could	O
contribute	O
to	O
the	O
increased	O
cardiovascular	O
risk	O
in	O
this	O
state	O
.	O
In	O
this	O
study	O
,	O
we	O
investigated	O
the	O
effect	O
of	O
troglitazone	S-CHEMICAL
,	O
a	O
ligand	O
of	O
the	O
nuclear	B-GP
receptor	I-GP
peroxisome	I-GP
proliferator	I-GP
activated	I-GP
receptor-gamma	E-GP
,	O
on	O
PAI-1	S-GP
expression	O
and	O
secretion	O
in	O
human	O
adipocytes	O
.	O
METHODS	O
:	O
We	O
used	O
two	O
models	O
:	O
in	O
vitro	O
differentiated	O
subcutaneous	O
and	O
omental	O
adipocytes	O
cultured	O
under	O
serum-free	O
conditions	O
and	O
isolated	O
subcutaneous	O
and	O
omental	O
fat	O
cells	O
kept	O
in	O
suspension	O
culture	O
.	O
Plasminogen	B-GP
activator	I-GP
inhibitor-1	I-GP
protein	E-GP
was	O
measured	O
by	O
ELISA	O
,	O
PAI-1	B-GP
mRNA	E-GP
by	O
a	O
semiquantitative	O
RT-PCR	O
technique	O
.	O
RESULTS	O
:	O
Exposure	O
of	O
in	O
vitro	O
differentiated	O
subcutaneous	O
adipocytes	O
from	O
young	O
normal-weight	O
females	O
to	O
1	O
microgram/ml	O
troglitazone	S-CHEMICAL
for	O
72	O
h	O
caused	O
a	O
reduction	O
of	O
both	O
PAI-1	S-GP
secretion	O
(	O
by	O
29	O
+/-	O
5	O
%	O
;	O
p	O
<	O
0.01	O
)	O
and	O
PAI-1	S-GP
mRNA	O
expression	O
(	O
by	O
26	O
+/-	O
3	O
%	O
;	O
p	O
<	O
0.05	O
)	O
.	O
In	O
cultures	O
from	O
severely	O
obese	O
subjects	O
,	O
troglitazone	S-CHEMICAL
induced	O
a	O
decrease	O
of	O
PAI-1	S-GP
antigen	O
secretion	O
from	O
newly	O
differentiated	O
omental	O
adipocytes	O
by	O
49	O
+/-	O
8	O
%	O
(	O
p	O
<	O
0.01	O
)	O
and	O
from	O
subcutaneous	O
adipocytes	O
by	O
30	O
+/-	O
7	O
%	O
(	O
p	O
<	O
0.05	O
)	O
.	O
Exposure	O
of	O
freshly	O
isolated	O
subcutaneous	O
and	O
omental	O
adipocytes	O
in	O
suspension	O
culture	O
to	O
troglitazone	S-CHEMICAL
induced	O
a	O
similar	O
reduction	O
of	O
PAI-1	S-GP
concentration	O
in	O
the	O
culture	O
medium	O
(	O
by	O
35	O
+/-	O
11	O
%	O
,	O
p	O
<	O
0.05	O
,	O
and	O
33	O
+/-	O
8	O
%	O
,	O
p	O
<	O
0.05	O
compared	O
with	O
control	O
,	O
respectively	O
)	O
.	O
CONCLUSION/INTERPRETATION	O
:	O
This	O
study	O
provides	O
evidence	O
that	O
troglitazone	S-CHEMICAL
reduces	O
PAI-1	S-GP
production	O
in	O
human	O
adipocytes	O
,	O
probably	O
at	O
the	O
transcriptional	O
level	O
.	O
This	O
observation	O
could	O
point	O
to	O
a	O
new	O
beneficial	O
effect	O
of	O
troglitazone	S-CHEMICAL
,	O
particularly	O
in	O
obese	O
subjects	O
,	O
which	O
could	O
be	O
associated	O
with	O
a	O
reduced	O
cardiovascular	O
risk	O
.	O

Environmental	O
pesticide	O
exposure	O
modulates	O
cytokines	O
,	O
arginase	S-GP
and	O
ornithine	B-GP
decarboxylase	E-GP
expression	O
in	O
human	O
placenta	O
.	O
To	O
evaluate	O
the	O
cytokine	O
balance	O
and	O
enzymatic	O
alterations	O
induced	O
by	O
environmental	O
pesticide	O
exposure	O
during	O
pregnancy	O
,	O
this	O
transversal	O
study	O
explored	O
placentas	O
derived	O
from	O
non-exposed	O
women	O
(	O
control	O
group-CG	O
)	O
,	O
and	O
from	O
women	O
living	O
in	O
a	O
rural	O
area	O
(	O
rural	O
group-RG	O
)	O
,	O
collected	O
during	O
intensive	O
organophosphate	S-CHEMICAL
(	O
OP	O
)	O
pesticide	O
spraying	O
season	O
(	O
RG-SS	O
)	O
and	O
during	O
non-spraying	O
season	O
(	O
RG-NSS	O
)	O
.	O
The	O
exposure	O
biomarkers	O
blood	B-GP
cholinesterase	E-GP
and	O
placental	B-GP
carboxylesterase	E-GP
(	O
CaE	S-GP
)	O
were	O
significantly	O
decreased	O
in	O
RG-SS	O
.	O
Among	O
the	O
cytokines	S-GP
studied	O
IL-8	S-GP
,	O
IL-6	S-GP
,	O
TNFα	S-GP
,	O
IL-10	S-GP
,	O
TGFβ	S-GP
and	O
IL-13	S-GP
,	O
the	O
expression	O
frequency	O
of	O
IL-13	S-GP
increased	O
in	O
RG-SS	S-GP
.	O
Arginase	S-GP
and	O
ornithine	B-GP
decarboxylase	E-GP
(	O
ODC	S-GP
)	O
enzymes	O
were	O
induced	O
in	O
syncytiotrophoblast	O
and	O
endothelial	O
cells	O
.	O
Interestingly	O
,	O
the	O
decrease	O
in	O
CaE	O
activity	O
was	O
associated	O
with	O
arginase	S-GP
and	O
ODC	S-GP
activity	O
induction	O
.	O
These	O
findings	O
suggest	O
that	O
environmental	O
pesticide	O
exposure	O
impacts	O
the	O
placenta	O
by	O
increasing	O
the	O
expression	O
frequency	O
of	O
the	O
anti-inflammatory	B-GP
cytokine	E-GP
IL-13	S-GP
,	O
which	O
may	O
be	O
related	O
to	O
the	O
up-regulation	O
of	O
enzymes	O
implicated	O
in	O
tissue	O
repair	O
.	O

Nonalcoholic	O
fatty	O
liver	O
disease	O
:	O
current	O
issues	O
and	O
novel	O
treatment	O
approaches	O
.	O
Nonalcoholic	O
fatty	O
liver	O
disease	O
(	O
NAFLD	O
)	O
is	O
considered	O
the	O
most	O
common	O
liver	O
disorder	O
in	O
the	O
Western	O
world	O
.	O
It	O
is	O
commonly	O
associated	O
with	O
insulin	S-GP
resistance	O
,	O
obesity	O
,	O
dyslipidaemia	O
,	O
type	O
2	O
diabetes	O
mellitus	O
(	O
T2DM	O
)	O
and	O
cardiovascular	O
disease	O
.	O
Nonalcoholic	O
steatohepatitis	O
(	O
NASH	O
)	O
is	O
characterized	O
by	O
steatosis	O
with	O
necroinflammation	O
and	O
eventual	O
fibrosis	O
,	O
which	O
can	O
lead	O
to	O
end-stage	O
liver	O
disease	O
and	O
hepatocellular	O
carcinoma	O
.	O
Its	O
pathogenesis	O
is	O
complex	O
,	O
and	O
involves	O
a	O
state	O
of	O
'lipotoxicity	O
'	O
in	O
which	O
insulin	S-GP
resistance	O
,	O
with	O
increased	O
free	O
fatty	B-CHEMICAL
acid	E-CHEMICAL
release	O
from	O
adipose	O
tissue	O
to	O
the	O
liver	O
,	O
play	O
a	O
key	O
role	O
in	O
the	O
onset	O
of	O
a	O
'lipotoxic	O
liver	O
disease	O
'	O
and	O
its	O
progression	O
to	O
NASH	O
.	O
The	O
diagnosis	O
of	O
NASH	O
is	O
challenging	O
,	O
as	O
most	O
affected	O
patients	O
are	O
symptom	O
free	O
and	O
the	O
role	O
of	O
routine	O
screening	O
is	O
not	O
clearly	O
established	O
.	O
A	O
complete	O
medical	O
history	O
is	O
important	O
to	O
rule	O
out	O
other	O
causes	O
of	O
fatty	O
liver	O
disease	O
(	O
alcohol	S-CHEMICAL
abuse	O
,	O
medications	O
,	O
other	O
)	O
.	O
Plasma	B-GP
aminotransferase	E-GP
levels	O
and	O
liver	O
ultrasound	O
are	O
helpful	O
in	O
the	O
diagnosis	O
of	O
NAFLD/NASH	O
,	O
but	O
a	O
liver	O
biopsy	O
is	O
often	O
required	O
for	O
a	O
definitive	O
diagnosis	O
.	O
However	O
,	O
there	O
is	O
an	O
active	O
search	O
for	O
plasma	O
biomarkers	O
and	O
imaging	O
techniques	O
that	O
may	O
non-invasively	O
aid	O
in	O
the	O
diagnosis	O
.	O
The	O
treatment	O
of	O
NASH	O
requires	O
a	O
multifaceted	O
approach	O
.	O
The	O
goal	O
is	O
to	O
reverse	O
obesity-associated	O
lipotoxicity	O
and	O
insulin	S-GP
resistance	O
via	O
lifestyle	O
intervention	O
.	O
Although	O
there	O
is	O
no	O
pharmacological	O
agent	O
approved	O
for	O
the	O
treatment	O
of	O
NAFLD	O
,	O
vitamin	B-CHEMICAL
E	E-CHEMICAL
(	O
in	O
patients	O
without	O
T2DM	O
)	O
and	O
the	O
thiazolidinedione	B-CHEMICAL
pioglitazone	E-CHEMICAL
(	O
in	O
patients	O
with	O
and	O
without	O
T2DM	O
)	O
have	O
shown	O
the	O
most	O
consistent	O
results	O
in	O
randomized	O
controlled	O
trials	O
.	O
This	O
review	O
concentrates	O
on	O
our	O
current	O
understanding	O
of	O
the	O
disease	O
,	O
with	O
a	O
focus	O
on	O
the	O
existing	O
therapeutic	O
approaches	O
and	O
potential	O
future	O
pharmacological	O
developments	O
for	O
NAFLD	O
and	O
NASH	O
.	O

Pharmacodynamic	O
characteristics	O
of	O
lixisenatide	O
once	O
daily	O
versus	O
liraglutide	O
once	O
daily	O
in	O
patients	O
with	O
type	O
2	O
diabetes	O
insufficiently	O
controlled	O
on	O
metformin	S-CHEMICAL
.	O
AIM	O
:	O
Assess	O
the	O
pharmacodynamics	O
of	O
lixisenatide	O
once	O
daily	O
(	O
QD	O
)	O
versus	O
liraglutide	O
QD	O
in	O
type	O
2	O
diabetes	O
insufficiently	O
controlled	O
on	O
metformin	S-CHEMICAL
.	O
METHODS	O
:	O
In	O
this	O
28-day	O
,	O
randomized	O
,	O
open-label	O
,	O
parallel-group	O
,	O
multicentre	O
study	O
(	O
NCT01175473	O
)	O
,	O
patients	O
(	O
mean	O
HbA1c	O
7.3	O
%	O
)	O
received	O
subcutaneous	O
lixisenatide	O
QD	O
(	O
10	O
µg	O
weeks	O
1-2	O
,	O
then	O
20	O
µg	O
;	O
n	O
=	O
77	O
)	O
or	O
liraglutide	O
QD	O
(	O
0.6	O
mg	O
week	O
1	O
,	O
1.2	O
mg	O
week	O
2	O
,	O
then	O
1.8	O
mg	O
;	O
n	O
=	O
71	O
)	O
30	O
min	O
before	O
breakfast	O
.	O
Primary	O
endpoint	O
was	O
change	O
in	O
postprandial	O
plasma	O
glucose	S-CHEMICAL
(	O
PPG	O
)	O
exposure	O
from	O
baseline	O
to	O
day	O
28	O
during	O
a	O
breakfast	O
test	O
meal	O
.	O
RESULTS	O
:	O
Lixisenatide	O
reduced	O
PPG	O
significantly	O
more	O
than	O
liraglutide	O
[	O
mean	O
change	O
in	O
AUC	O
(	O
0	O
)	O
(	O
:30-4:30h	O
)	O
:	O
-12.6	O
vs.	O
-4.0	O
h/mmol/l	O
,	O
respectively	O
;	O
p	O
<	O
0.0001	O
(	O
0:30	O
h	O
=	O
start	O
of	O
meal	O
)	O
]	O
.	O
Change	O
in	O
maximum	O
PPG	O
excursion	O
was	O
-3.9	O
mmol/l	O
vs.	O
-1.4	O
mmol/l	O
,	O
respectively	O
(	O
p	O
<	O
0.0001	O
)	O
.	O
More	O
lixisenatide-treated	O
patients	O
achieved	O
2-h	O
PPG	O
<	O
7.8	O
mmol/l	O
(	O
69	O
%	O
vs.	O
29	O
%	O
)	O
.	O
Changes	O
in	O
fasting	O
plasma	O
glucose	S-CHEMICAL
were	O
greater	O
with	O
liraglutide	O
(	O
-0.3	O
vs.	O
-1.3	O
mmol/l	O
,	O
p	O
<	O
0.0001	O
)	O
.	O
Lixisenatide	O
provided	O
greater	O
decreases	O
in	O
postprandial	O
glucagon	S-GP
(	O
p	O
<	O
0.05	O
)	O
,	O
insulin	S-GP
(	O
p	O
<	O
0.0001	O
)	O
and	O
C-peptide	O
(	O
p	O
<	O
0.0001	O
)	O
.	O
Mean	O
HbA1c	O
decreased	O
in	O
both	O
treatment	O
groups	O
(	O
from	O
7.2	O
%	O
to	O
6.9	O
%	O
with	O
lixisenatide	O
vs.	O
7.4	O
%	O
to	O
6.9	O
%	O
with	O
liraglutide	O
)	O
as	O
did	O
body	O
weight	O
(	O
-1.6	O
kg	O
vs.	O
-2.4	O
kg	O
,	O
respectively	O
)	O
.	O
Overall	O
incidence	O
of	O
adverse	O
events	O
was	O
lower	O
with	O
lixisenatide	O
(	O
55	O
%	O
)	O
versus	O
liraglutide	O
(	O
65	O
%	O
)	O
,	O
with	O
no	O
serious	O
events	O
or	O
hypoglycaemia	O
reported	O
.	O
CONCLUSIONS	O
:	O
Once	O
daily	O
prebreakfast	O
lixisenatide	O
provided	O
a	O
significantly	O
greater	O
reduction	O
in	O
PPG	O
(	O
AUC	O
)	O
during	O
a	O
morning	O
test	O
meal	O
versus	O
prebreakfast	O
liraglutide	O
.	O
Lixisenatide	O
provided	O
significant	O
decreases	O
in	O
postprandial	O
insulin	S-GP
,	O
C-peptide	O
(	O
vs.	O
an	O
increase	O
with	O
liraglutide	O
)	O
and	O
glucagon	S-GP
,	O
and	O
better	O
gastrointestinal	O
tolerability	O
than	O
liraglutide	O
.	O

D-myo-inositol	B-CHEMICAL
1-phosphate	E-CHEMICAL
as	O
a	O
surrogate	O
of	O
D-myo-inositol	B-CHEMICAL
1,4,5-tris	I-CHEMICAL
phosphate	E-CHEMICAL
to	O
monitor	O
G	B-GP
protein-coupled	I-GP
receptor	E-GP
activation	O
.	O
Phospholipase	B-GP
C	I-GP
beta	E-GP
(	O
PLC-beta	S-GP
)	O
-coupled	O
G	B-GP
protein-coupled	I-GP
receptor	E-GP
(	O
GPCR	S-GP
)	O
activities	O
traditionally	O
are	O
assessed	O
by	O
measuring	O
Ca2+	O
triggered	O
by	O
D-myo-inositol	B-CHEMICAL
1,4,5-trisphosphate	E-CHEMICAL
(	O
IP3	O
)	O
,	O
a	O
PLC-beta	B-GP
hydrolysis	I-GP
product	E-GP
,	O
or	O
by	O
measuring	O
the	O
production	O
of	O
inositol	B-CHEMICAL
phosphate	E-CHEMICAL
using	O
cumbersome	O
radioactive	O
assays	O
.	O
A	O
specific	O
detection	O
of	O
IP3	S-GP
production	O
was	O
also	O
established	O
using	O
IP3	B-GP
binding	I-GP
proteins	E-GP
.	O
The	O
short	O
lifetime	O
of	O
IP3	O
makes	O
this	O
detection	O
very	O
challenging	O
in	O
measuring	O
GPCR	O
responses	O
.	O
Indeed	O
,	O
this	O
IP3	O
rapidly	O
enters	O
the	O
metabolic	O
inositol	B-CHEMICAL
phosphate	E-CHEMICAL
cascade	O
.	O
It	O
has	O
been	O
known	O
for	O
decades	O
that	O
